0	[862338.0,9.8723876989,88876649.9762566537]
1	[452810.0,-18.5601023777,93247482.7903822213]
10	[17310.0,98.4633204592,108084209.9447235465]
11	[897044.0,-9.164971808,83932099.4666945338]
12	[222066.0,-5.5062780164,80631434.9451120943]
13	[158627.0,44.1673229575,102056021.735591501]
14	[873568.0,20.4287172296,102647242.9599751383]
15	[17016.0,144.5863449707,78999640.0529580861]
16	[678390.0,17.0399901669,83348553.4643739313]
17	[145306.0,-3.2899699519,69866385.3784090281]
18	[134370.0,-14.5280964438,105645041.2298437655]
19	[229768.0,-3.3207148817,91850219.0803911239]
2	[105548.0,-15.2362230833,83553366.6341636181]
20	[676289.0,0.3219578656,102028374.4676386863]
21	[1146955.0,28.0316962742,65361314.7443429008]
22	[490487.0,6.2740169363,75418085.9576252997]
23	[223434.0,-2.9732090622,97484417.2359191328]
24	[112730.0,71.0843919881,103876466.2121580988]
3	[358093.0,0.6398833915,109463481.4812636077]
4	[137728.0,-21.6628919329,76603243.7971047461]
5	[223385.0,24.3867215747,127109022.55292283]
6	[1081245.0,15.9633708407,88374442.4970653802]
7	[341522.0,-41.021803702,117405452.4690739661]
8	[300539.0,25.9783215635,87148464.7218444496]
9	[113432.0,12.3038561143,104967969.1741923541]
